学校,课程名称,科目,参加人数,评价人数,评分
PKU,社区护理学,医药卫生,医药卫生,22,4.9
PKU,基础俄语Ⅲ,外语,外语,21,4.8
PKU,孕产期妇女保健与护理,医药卫生,医药卫生,36,4.8
PKU,医事法,法学,法学,21,4.9
PKU,90年代以来的长篇小说研究,文学文化,文学文化,54,4.4
PKU,水文学与水资源概论,理学,理学,22,4.9
PKU,口腔正畸学,医药卫生,医药卫生,113,5.0
PKU,儿科护理学（一）,医药卫生,医药卫生,13,4.8
PKU,光学,理学,理学,18,4.8
PKU,医学心理学,心理学,心理学,36,4.7
PKU,健康和护理的国际化视角,医药卫生,医药卫生,5,
PKU,口腔修复学,医药卫生,医药卫生,27,5.0
PKU,护理教育学,医药卫生,医药卫生,36,4.7
PKU,基础护理学（上）,医药卫生,医药卫生,21,5.0
PKU,西班牙语语音,外语,外语,29,5.0
PKU,意大利语语音,外语,外语,33,4.8
PKU,实用Python程序设计,计算机,计算机,275,4.9
PKU,呼吸系统疾病患者的护理,医药卫生,医药卫生,19,4.8
PKU,英语阅读,外语,外语,62,4.8
PKU,推荐系统,计算机,计算机,5,
NJU,遗传学实验,理学,理学,,
NJU,环境学,工学,工学,7,
NJU,研究生学术规范与学术诚信,教育教学,教育教学,158,4.8
NJU,传播理论前沿,文学文化,文学文化,59,4.9
NJU,大学生劳动教育,法学,法学,98,4.9
NJU,应用统计与R语言,管理学,管理学,28,4.8
NJU,21世纪国外马克思主义哲学若干重大问题研究,哲学,哲学,1,
NJU,人体解剖学,医药卫生,医药卫生,8,
NJU,工艺人文,艺术设计,艺术设计,1,
NJU,环境科学统计与建模方法,工学,工学,3,
NJU,研究生心理适应与卓越发展,心理学,心理学,405,4.9
NJU,语用学导论,外语,外语,16,4.9
NJU,土壤环境化学,工学,工学,2,
NJU,建筑设计基础,工学,工学,6,
NJU,英语口语进阶,外语,外语,66,4.7
NJU,环境工程基础实验,工学,工学,1,
NJU,视觉人文,艺术设计,艺术设计,13,4.8
NJU,应急管理原理,管理学,管理学,18,4.9
NJU,日语学习难点解析,外语,外语,9,
NJU,演化——地球生命简史,历史,历史,19,5.0
ZJU,数据智能与应用,工学,工学,2,
ZJU,自然辩证法概论,哲学,哲学,8,
ZJU,工程电磁场与波,工学,工学,,
ZJU,高分子化学,工学,工学,10,4.6
ZJU,口腔组织病理学,医药卫生,医药卫生,6,
ZJU,半导体材料,工学,工学,7,
ZJU,海洋天然产物化学,理学,理学,1,
ZJU,基因工程综合实验,理学,理学,11,5.0
ZJU,科学技术史,哲学,哲学,8,
ZJU,大数据解析与应用导论,工学,工学,16,4.4
ZJU,食品分析,工学,工学,5,
ZJU,现代龋病学,医药卫生,医药卫生,3,
ZJU,口腔医学技能实践操作课程,医药卫生,医药卫生,,
ZJU,动物疾病的病理基础,农林园艺,农林园艺,1,
ZJU,结构力学I-超静定,工学,工学,,
ZJU,急救临床技能操作技术,医药卫生,医药卫生,21,4.8
ZJU,运动与脑,教育教学,教育教学,12,4.9
ZJU,系统化口腔正畸学（基础篇）,医药卫生,医药卫生,2,
ZJU,儿科临床思维训练,医药卫生,医药卫生,,
ZJU,国土空间规划,管理学,管理学,16,4.4
FUDAN,身边的基因科学,理学,理学,11,4.8
FUDAN,中国特色社会主义理论与实践研究,法学,法学,43,4.9
FUDAN,国际税收,经济学,经济学,3,
FUDAN,行政法学,法学,法学,111,4.7
FUDAN,习近平新时代中国特色社会主义思想概论,国家精品,国家精品,1643,4.9
FUDAN,全球网络空间治理概论,法学,法学,82,4.8
FUDAN,物种起源导论,理学,理学,17,4.8
FUDAN,食品安全,医药卫生,医药卫生,105,4.7
FUDAN,民法Ⅰ（民法总论）,法学,法学,154,4.6
FUDAN,护理科研,医药卫生,医药卫生,41,4.8
FUDAN,政治学原理,法学,法学,53,4.8
FUDAN,音频音乐与计算机的交融-音频音乐技术,计算机,计算机,26,4.9
FUDAN,景观生态学,理学,理学,14,5.0
FUDAN,中国马克思主义与当代,法学,法学,33,4.7
FUDAN,现代医院管理学理论,医药卫生,医药卫生,10,4.9
FUDAN,半导体器件基础,工学,工学,5,
FUDAN,中华优秀传统文化,哲学,哲学,884,4.9
FUDAN,机器视觉与边缘计算应用,计算机,计算机,111,4.7
FUDAN,药物化学,医药卫生,医药卫生,14,5.0
FUDAN,医学统计学,医药卫生,医药卫生,42,4.9
BUAA,空气动力学(上）,工学,工学,6,
BUAA,电子设计基础训练,工学,工学,3,
BUAA,机械设计,工学,工学,18,4.7
BUAA,自动控制原理（I）,工学,工学,30,4.8
BUAA,线性代数,理学,理学,1527,5.0
BUAA,汽车构造（底盘部分）,工学,工学,10,4.6
BUAA,电路,工学,工学,6,
BUAA,材料力学研讨与进阶,工学,工学,,
BUAA,基础物理实验（1）,理学,理学,93,4.1
BUAA,大学计算机基础,计算机,计算机,47,4.8
BUAA,Explore the Materials——From an Atom to a Device（走进材料——从原子到器件）,工学,工学,7,
BUAA,空气动力学（下）,工学,工学,2,
BUAA,聆听音乐的钥匙,艺术设计,艺术设计,63,4.8
